Administration Code,Merchant Code,OrderCode,Date,PaymentMethod,Status,CurrencyCode,Amount,Commission,Batch ID,Refusal Reason
ABCGATEWAY,ABJP7273OPAP3DJPY,2b5107e5-cb58-406b-t4eb-4tbd4999c69c,11/21/23 0:05,VISA_CREDIT-SSL,CAPTURED,USD,20.85,,79,
ABCGATEWAY,ABJP7273OPAP3DJPY,5ftfct21-1257-42t5-b658-f841e6269860,11/21/23 0:05,VISA_CREDIT-SSL,CAPTURED,USD,20.85,,79,
ABCGATEWAY,ABJP7273OPAP3DJPY,0btf1f59-0d6d-44b9-bt0f-29b202c0682d,11/21/23 0:15,VISA_CREDIT-SSL,AUTHORISED,USD,20.84,,78,
ABCGATEWAY,ABJP7273OPAP3DJPY,0btf1f59-0d6d-44b9-bt0f-29b202c0682d,11/21/23 0:15,VISA_CREDIT-SSL,SENT_FOR_AUTHORISATION,USD,20.84,,,
ABCGATEWAY,ABJP7273OPAP3DJPY,c8ec1361-6d08-42ct-bd50-241db1d476d8,11/21/23 0:17,VISA_CREDIT-SSL,SENT_FOR_AUTHORISATION,USD,34.73,,,
ABCGATEWAY,ABJP7273OPAP3DJPY,c8ec1361-6d08-42ct-bd50-241db1d476d8,11/21/23 0:17,VISA_CREDIT-SSL,AUTHORISED,USD,34.73,,78,
ABCGATEWAY,ABJP7273OPAP3DJPY,09e81766-dbb7-45t5-9410-f5ced875763e,11/21/23 0:26,VISA_CREDIT-SSL,SENT_FOR_AUTHORISATION,USD,20.84,,,
ABCGATEWAY,ABJP7273OPAP3DJPY,09e81766-dbb7-45t5-9410-f5ced875763e,11/21/23 0:26,VISA_CREDIT-SSL,AUTHORISED,USD,20.84,,78,
ABCGATEWAY,ABJP7273OPAP3DJPY,e2ctd195-99c6-4b1f-9d75-199f7743t7e7,11/21/23 0:26,ECMC_CREDIT-SSL,SENT_FOR_AUTHORISATION,USD,104.22,,,
ABCGATEWAY,ABJP7273OPAP3DJPY,e2ctd195-99c6-4b1f-9d75-199f7743t7e7,11/21/23 0:26,ECMC_CREDIT-SSL,AUTHORISED,USD,104.22,,78,
